output_page,filter_field,filter_value,output_filename
Migration_PerformanceReports_ClickC/Coverpage,Pm_Region,East%20Berkshire,page01_Berkshire
Migration_PerformanceReports_ClickC/Highlights,Pm_Region,East%20Berkshire,page02_Berkshire
Migration_PerformanceReports_ClickC/STIactivity,Pm_Region,East%20Berkshire,page03_Berkshire
Migration_PerformanceReports_ClickC/STILSOA,Pm_Region,East%20Berkshire,page04_Berkshire
Migration_PerformanceReports_ClickC/STIresults,Pm_Region,East%20Berkshire,page05_Berkshire
Migration_PerformanceReports_ClickC/STIresultTOTs,Pm_Region,East%20Berkshire,page06_Berkshire
Migration_PerformanceReports_ClickC/STIdiagnosisCTGC,Pm_Region,East%20Berkshire,page07_Berkshire
Migration_PerformanceReports_ClickC/STIdiagnosisHIVSyp,Pm_Region,East%20Berkshire,page08_Berkshire
Migration_PerformanceReports_ClickC/STIrisksafeguarding,Pm_Region,East%20Berkshire,page09_Berkshire
Migration_PerformanceReports_ClickC/STIDemographics1,Pm_Region,East%20Berkshire,page10_Berkshire
Migration_PerformanceReports_ClickC/STIDemographics2,Pm_Region,East%20Berkshire,page11_Berkshire
Migration_PerformanceReports_ClickC/Feedback,Pm_Region,East%20Berkshire,page12_Berkshire
Migration_PerformanceReports_ClickC/Coverpage,Pm_Region,Blackburn,page01_Blackburn
Migration_PerformanceReports_ClickC/Highlights,Pm_Region,Blackburn,page02_Blackburn
Migration_PerformanceReports_ClickC/STIactivity,Pm_Region,Blackburn,page03_Blackburn
Migration_PerformanceReports_ClickC/STIoffline,Pm_Region,Blackburn,page04_Blackburn
Migration_PerformanceReports_ClickC/STILSOA,Pm_Region,Blackburn,page05_Blackburn
Migration_PerformanceReports_ClickC/STIresults,Pm_Region,Blackburn,page06_Blackburn
Migration_PerformanceReports_ClickC/STIresultTOTs,Pm_Region,Blackburn,page07_Blackburn
Migration_PerformanceReports_ClickC/STIdiagnosisCTGC,Pm_Region,Blackburn,page08_Blackburn
Migration_PerformanceReports_ClickC/STIdiagnosisHIVSyp,Pm_Region,Blackburn,page09_Blackburn
Migration_PerformanceReports_ClickC/STIrisksafeguarding,Pm_Region,Blackburn,page10_Blackburn
Migration_PerformanceReports_ClickC/STIDemographics1,Pm_Region,Blackburn,page11_Blackburn
Migration_PerformanceReports_ClickC/STIDemographics2,Pm_Region,Blackburn,page12_Blackburn
Migration_PerformanceReports_ClickC/ContraceptionPD,Pm_Region,Blackburn,page13_Blackburn
Migration_PerformanceReports_ClickC/COC,Pm_Region,Blackburn,page14_Blackburn
Migration_PerformanceReports_ClickC/POP,Pm_Region,Blackburn,page15_Blackburn
Migration_PerformanceReports_ClickC/COCPOPmap,Pm_Region,Blackburn,page16_Blackburn
Migration_PerformanceReports_ClickC/EC,Pm_Region,Blackburn,page17_Blackburn
Migration_PerformanceReports_ClickC/ECdelivered,Pm_Region,Blackburn,page18_Blackburn
Migration_PerformanceReports_ClickC/Feedback,Pm_Region,Blackburn,page19_Blackburn
Migration_PerformanceReports_ClickC/Coverpage,Pm_Region,Bracknell%20Forest,page01_Bracknell Forest
Migration_PerformanceReports_ClickC/Highlights,Pm_Region,Bracknell%20Forest,page02_Bracknell Forest
Migration_PerformanceReports_ClickC/STIactivity,Pm_Region,Bracknell%20Forest,page03_Bracknell Forest
Migration_PerformanceReports_ClickC/STILSOA,Pm_Region,Bracknell%20Forest,page04_Bracknell Forest
Migration_PerformanceReports_ClickC/STIresults,Pm_Region,Bracknell%20Forest,page05_Bracknell Forest
Migration_PerformanceReports_ClickC/STIresultTOTs,Pm_Region,Bracknell%20Forest,page06_Bracknell Forest
Migration_PerformanceReports_ClickC/STIdiagnosisCTGC,Pm_Region,Bracknell%20Forest,page07_Bracknell Forest
Migration_PerformanceReports_ClickC/STIdiagnosisHIVSyp,Pm_Region,Bracknell%20Forest,page08_Bracknell Forest
Migration_PerformanceReports_ClickC/STIrisksafeguarding,Pm_Region,Bracknell%20Forest,page09_Bracknell Forest
Migration_PerformanceReports_ClickC/STIDemographics1,Pm_Region,Bracknell%20Forest,page10_Bracknell Forest
Migration_PerformanceReports_ClickC/STIDemographics2,Pm_Region,Bracknell%20Forest,page11_Bracknell Forest
Migration_PerformanceReports_ClickC/Feedback,Pm_Region,Bracknell%20Forest,page12_Bracknell Forest
Migration_PerformanceReports_ClickC/Coverpage,Pm_Region,Bradford,page01_Bradford
Migration_PerformanceReports_ClickC/Highlights,Pm_Region,Bradford,page02_Bradford
Migration_PerformanceReports_ClickC/STIactivity,Pm_Region,Bradford,page03_Bradford
Migration_PerformanceReports_ClickC/STIoffline,Pm_Region,Bradford,page04_Bradford
Migration_PerformanceReports_ClickC/STILSOA,Pm_Region,Bradford,page05_Bradford
Migration_PerformanceReports_ClickC/STIresults,Pm_Region,Bradford,page06_Bradford
Migration_PerformanceReports_ClickC/STIresultTOTs,Pm_Region,Bradford,page07_Bradford
Migration_PerformanceReports_ClickC/STIdiagnosisCTGC,Pm_Region,Bradford,page08_Bradford
Migration_PerformanceReports_ClickC/STIdiagnosisHIVSyp,Pm_Region,Bradford,page09_Bradford
Migration_PerformanceReports_ClickC/STIrisksafeguarding,Pm_Region,Bradford,page10_Bradford
Migration_PerformanceReports_ClickC/STIDemographics1,Pm_Region,Bradford,page11_Bradford
Migration_PerformanceReports_ClickC/STIDemographics2,Pm_Region,Bradford,page12_Bradford
Migration_PerformanceReports_ClickC/ContraceptionPD,Pm_Region,Bradford,page13_Bradford
Migration_PerformanceReports_ClickC/EC,Pm_Region,Bradford,page14_Bradford
Migration_PerformanceReports_ClickC/ECdelivered,Pm_Region,Bradford,page15_Bradford
Migration_PerformanceReports_ClickC/Feedback,Pm_Region,Bradford,page16_Bradford
Migration_PerformanceReports_ClickC/Coverpage,Pm_Region,Bromley,page01_Bromley
Migration_PerformanceReports_ClickC/Highlights,Pm_Region,Bromley,page02_Bromley
Migration_PerformanceReports_ClickC/STIactivity,Pm_Region,Bromley,page03_Bromley
Migration_PerformanceReports_ClickC/STIoffline,Pm_Region,Bromley,page04_Bromley
Migration_PerformanceReports_ClickC/STILSOA,Pm_Region,Bromley,page05_Bromley
Migration_PerformanceReports_ClickC/STIresults,Pm_Region,Bromley,page06_Bromley
Migration_PerformanceReports_ClickC/STIresultTOTs,Pm_Region,Bromley,page07_Bromley
Migration_PerformanceReports_ClickC/STIdiagnosisCTGC,Pm_Region,Bromley,page08_Bromley
Migration_PerformanceReports_ClickC/STIrisksafeguarding,Pm_Region,Bromley,page09_Bromley
Migration_PerformanceReports_ClickC/STIDemographics1,Pm_Region,Bromley,page10_Bromley
Migration_PerformanceReports_ClickC/STIDemographics2,Pm_Region,Bromley,page11_Bromley
Migration_PerformanceReports_ClickC/ContraceptionPD,Pm_Region,Bromley,page12_Bromley
Migration_PerformanceReports_ClickC/POP,Pm_Region,Bromley,page13_Bromley
Migration_PerformanceReports_ClickC/COCPOPmap,Pm_Region,Bromley,page14_Bromley
Migration_PerformanceReports_ClickC/EC,Pm_Region,Bromley,page15_Bromley
Migration_PerformanceReports_ClickC/ECdelivered,Pm_Region,Bromley,page16_Bromley
Migration_PerformanceReports_ClickC/Feedback,Pm_Region,Bromley,page17_Bromley
Migration_PerformanceReports_ClickC/Coverpage,Pm_Region,Cheshire%20East,page01_Cheshire East
Migration_PerformanceReports_ClickC/Highlights,Pm_Region,Cheshire%20East,page02_Cheshire East
Migration_PerformanceReports_ClickC/STIactivity,Pm_Region,Cheshire%20East,page03_Cheshire East
Migration_PerformanceReports_ClickC/STIoffline,Pm_Region,Cheshire%20East,page04_Cheshire East
Migration_PerformanceReports_ClickC/STILSOA,Pm_Region,Cheshire%20East,page05_Cheshire East
Migration_PerformanceReports_ClickC/STIresults,Pm_Region,Cheshire%20East,page06_Cheshire East
Migration_PerformanceReports_ClickC/STIresultTOTs,Pm_Region,Cheshire%20East,page07_Cheshire East
Migration_PerformanceReports_ClickC/STIdiagnosisCTGC,Pm_Region,Cheshire%20East,page08_Cheshire East
Migration_PerformanceReports_ClickC/STIdiagnosisHIVSyp,Pm_Region,Cheshire%20East,page09_Cheshire East
Migration_PerformanceReports_ClickC/STIrisksafeguarding,Pm_Region,Cheshire%20East,page10_Cheshire East
Migration_PerformanceReports_ClickC/STIDemographics1,Pm_Region,Cheshire%20East,page11_Cheshire East
Migration_PerformanceReports_ClickC/STIDemographics2,Pm_Region,Cheshire%20East,page12_Cheshire East
Migration_PerformanceReports_ClickC/ContraceptionPD,Pm_Region,Cheshire%20East,page13_Cheshire East
Migration_PerformanceReports_ClickC/COC,Pm_Region,Cheshire%20East,page14_Cheshire East
Migration_PerformanceReports_ClickC/POP,Pm_Region,Cheshire%20East,page15_Cheshire East
Migration_PerformanceReports_ClickC/COCPOPmap,Pm_Region,Cheshire%20East,page16_Cheshire East
Migration_PerformanceReports_ClickC/Feedback,Pm_Region,Cheshire%20East,page17_Cheshire East
Migration_PerformanceReports_ClickC/RoyalLiverpool,Pm_Region,Cheshire%20East,page18_Cheshire East
Migration_PerformanceReports_ClickC/Coverpage,Pm_Region,Cornwall,page01_Cornwall
Migration_PerformanceReports_ClickC/Highlights,Pm_Region,Cornwall,page02_Cornwall
Migration_PerformanceReports_ClickC/STIactivity,Pm_Region,Cornwall,page03_Cornwall
Migration_PerformanceReports_ClickC/STIoffline,Pm_Region,Cornwall,page04_Cornwall
Migration_PerformanceReports_ClickC/STILSOA,Pm_Region,Cornwall,page05_Cornwall
Migration_PerformanceReports_ClickC/STIresults,Pm_Region,Cornwall,page06_Cornwall
Migration_PerformanceReports_ClickC/STIresultTOTs,Pm_Region,Cornwall,page07_Cornwall
Migration_PerformanceReports_ClickC/STIdiagnosisCTGC,Pm_Region,Cornwall,page08_Cornwall
Migration_PerformanceReports_ClickC/STIdiagnosisHIVSyp,Pm_Region,Cornwall,page09_Cornwall
Migration_PerformanceReports_ClickC/STIrisksafeguarding,Pm_Region,Cornwall,page10_Cornwall
Migration_PerformanceReports_ClickC/STIDemographics1,Pm_Region,Cornwall,page11_Cornwall
Migration_PerformanceReports_ClickC/STIDemographics2,Pm_Region,Cornwall,page12_Cornwall
Migration_PerformanceReports_ClickC/ContraceptionPD,Pm_Region,Cornwall,page13_Cornwall
Migration_PerformanceReports_ClickC/COC,Pm_Region,Cornwall,page14_Cornwall
Migration_PerformanceReports_ClickC/POP,Pm_Region,Cornwall,page15_Cornwall
Migration_PerformanceReports_ClickC/COCPOPmap,Pm_Region,Cornwall,page16_Cornwall
Migration_PerformanceReports_ClickC/EC,Pm_Region,Cornwall,page17_Cornwall
Migration_PerformanceReports_ClickC/ECdelivered,Pm_Region,Cornwall,page18_Cornwall
Migration_PerformanceReports_ClickC/Feedback,Pm_Region,Cornwall,page19_Cornwall
Migration_PerformanceReports_ClickC/Coverpage,Pm_Region,County%20Durham,page01_County Durham
Migration_PerformanceReports_ClickC/Highlights,Pm_Region,County%20Durham,page02_County Durham
Migration_PerformanceReports_ClickC/STIactivity,Pm_Region,County%20Durham,page03_County Durham
Migration_PerformanceReports_ClickC/STIpostedLSOA,Pm_Region,County%20Durham,page04_County Durham
Migration_PerformanceReports_ClickC/STIreturnsLSOA,Pm_Region,County%20Durham,page05_County Durham
Migration_PerformanceReports_ClickC/STIresults,Pm_Region,County%20Durham,page06_County Durham
Migration_PerformanceReports_ClickC/STIresultTOTs,Pm_Region,County%20Durham,page07_County Durham
Migration_PerformanceReports_ClickC/STIdiagnosisCTGC,Pm_Region,County%20Durham,page08_County Durham
Migration_PerformanceReports_ClickC/STIdiagnosisHIVSyp,Pm_Region,County%20Durham,page09_County Durham
Migration_PerformanceReports_ClickC/STIrisksafeguarding,Pm_Region,County%20Durham,page10_County Durham
Migration_PerformanceReports_ClickC/STIDemographics1,Pm_Region,County%20Durham,page11_County Durham
Migration_PerformanceReports_ClickC/STIDemographics2,Pm_Region,County%20Durham,page12_County Durham
Migration_PerformanceReports_ClickC/ContraceptionPD,Pm_Region,County%20Durham,page13_County Durham
Migration_PerformanceReports_ClickC/COC,Pm_Region,County%20Durham,page14_County Durham
Migration_PerformanceReports_ClickC/POP,Pm_Region,County%20Durham,page15_County Durham
Migration_PerformanceReports_ClickC/COCPOPmap,Pm_Region,County%20Durham,page16_County Durham
Migration_PerformanceReports_ClickC/Feedback,Pm_Region,County%20Durham,page17_County Durham
Migration_PerformanceReports_ClickC/Coverpage,Pm_Region,Darlington,page01_Darlington
Migration_PerformanceReports_ClickC/Highlights,Pm_Region,Darlington,page02_Darlington
Migration_PerformanceReports_ClickC/STIactivity,Pm_Region,Darlington,page03_Darlington
Migration_PerformanceReports_ClickC/STIpostedLSOA,Pm_Region,Darlington,page04_Darlington
Migration_PerformanceReports_ClickC/STIreturnsLSOA,Pm_Region,Darlington,page05_Darlington
Migration_PerformanceReports_ClickC/STIresults,Pm_Region,Darlington,page06_Darlington
Migration_PerformanceReports_ClickC/STIresultTOTs,Pm_Region,Darlington,page07_Darlington
Migration_PerformanceReports_ClickC/STIdiagnosisCTGC,Pm_Region,Darlington,page08_Darlington
Migration_PerformanceReports_ClickC/STIdiagnosisHIVSyp,Pm_Region,Darlington,page09_Darlington
Migration_PerformanceReports_ClickC/STIrisksafeguarding,Pm_Region,Darlington,page10_Darlington
Migration_PerformanceReports_ClickC/STIDemographics1,Pm_Region,Darlington,page11_Darlington
Migration_PerformanceReports_ClickC/STIDemographics2,Pm_Region,Darlington,page12_Darlington
Migration_PerformanceReports_ClickC/ContraceptionPD,Pm_Region,Darlington,page13_Darlington
Migration_PerformanceReports_ClickC/COC,Pm_Region,Darlington,page14_Darlington
Migration_PerformanceReports_ClickC/POP,Pm_Region,Darlington,page15_Darlington
Migration_PerformanceReports_ClickC/COCPOPmap,Pm_Region,Darlington,page16_Darlington
Migration_PerformanceReports_ClickC/Feedback,Pm_Region,Darlington,page17_Darlington
Migration_PerformanceReports_ClickC/Coverpage,Pm_Region,Derby,page01_Derby
Migration_PerformanceReports_ClickC/Highlights,Pm_Region,Derby,page02_Derby
Migration_PerformanceReports_ClickC/STIactivity,Pm_Region,Derby,page03_Derby
Migration_PerformanceReports_ClickC/STIoffline,Pm_Region,Derby,page04_Derby
Migration_PerformanceReports_ClickC/STILSOA,Pm_Region,Derby,page05_Derby
Migration_PerformanceReports_ClickC/STIresults,Pm_Region,Derby,page06_Derby
Migration_PerformanceReports_ClickC/STIresultTOTs,Pm_Region,Derby,page07_Derby
Migration_PerformanceReports_ClickC/STIdiagnosisCTGC,Pm_Region,Derby,page08_Derby
Migration_PerformanceReports_ClickC/STIdiagnosisHIVSyp,Pm_Region,Derby,page09_Derby
Migration_PerformanceReports_ClickC/STIrisksafeguarding,Pm_Region,Derby,page10_Derby
Migration_PerformanceReports_ClickC/STIDemographics1,Pm_Region,Derby,page11_Derby
Migration_PerformanceReports_ClickC/STIDemographics2,Pm_Region,Derby,page12_Derby
Migration_PerformanceReports_ClickC/ContraceptionPD,Pm_Region,Derby,page13_Derby
Migration_PerformanceReports_ClickC/COC,Pm_Region,Derby,page14_Derby
Migration_PerformanceReports_ClickC/POP,Pm_Region,Derby,page15_Derby
Migration_PerformanceReports_ClickC/COCPOPmap,Pm_Region,Derby,page16_Derby
Migration_PerformanceReports_ClickC/EC,Pm_Region,Derby,page17_Derby
Migration_PerformanceReports_ClickC/ECdelivered,Pm_Region,Derby,page18_Derby
Migration_PerformanceReports_ClickC/Feedback,Pm_Region,Derby,page19_Derby
Migration_PerformanceReports_ClickC/Coverpage,Pm_Region,Derbyshire,page01_Derbyshire
Migration_PerformanceReports_ClickC/Highlights,Pm_Region,Derbyshire,page02_Derbyshire
Migration_PerformanceReports_ClickC/STIactivity,Pm_Region,Derbyshire,page03_Derbyshire
Migration_PerformanceReports_ClickC/STIoffline,Pm_Region,Derbyshire,page04_Derbyshire
Migration_PerformanceReports_ClickC/STILSOA,Pm_Region,Derbyshire,page05_Derbyshire
Migration_PerformanceReports_ClickC/STIDistrict,Pm_Region,Derbyshire,page06_Derbyshire
Migration_PerformanceReports_ClickC/STIresults,Pm_Region,Derbyshire,page07_Derbyshire
Migration_PerformanceReports_ClickC/STIresultTOTs,Pm_Region,Derbyshire,page08_Derbyshire
Migration_PerformanceReports_ClickC/STIdiagnosisCTGC,Pm_Region,Derbyshire,page09_Derbyshire
Migration_PerformanceReports_ClickC/STIdiagnosisHIVSyp,Pm_Region,Derbyshire,page10_Derbyshire
Migration_PerformanceReports_ClickC/STIrisksafeguarding,Pm_Region,Derbyshire,page11_Derbyshire
Migration_PerformanceReports_ClickC/STIDemographics1,Pm_Region,Derbyshire,page12_Derbyshire
Migration_PerformanceReports_ClickC/STIDemographics2,Pm_Region,Derbyshire,page13_Derbyshire
Migration_PerformanceReports_ClickC/ContraceptionPD,Pm_Region,Derbyshire,page14_Derbyshire
Migration_PerformanceReports_ClickC/COC,Pm_Region,Derbyshire,page15_Derbyshire
Migration_PerformanceReports_ClickC/POP,Pm_Region,Derbyshire,page16_Derbyshire
Migration_PerformanceReports_ClickC/COCPOPmap,Pm_Region,Derbyshire,page17_Derbyshire
Migration_PerformanceReports_ClickC/EC,Pm_Region,Derbyshire,page18_Derbyshire
Migration_PerformanceReports_ClickC/ECdelivered,Pm_Region,Derbyshire,page19_Derbyshire
Migration_PerformanceReports_ClickC/Feedback,Pm_Region,Derbyshire,page20_Derbyshire
Migration_PerformanceReports_ClickC/Coverpage,Pm_Region,Doncaster,page01_Doncaster
Migration_PerformanceReports_ClickC/Highlights,Pm_Region,Doncaster,page02_Doncaster
Migration_PerformanceReports_ClickC/STIactivity,Pm_Region,Doncaster,page03_Doncaster
Migration_PerformanceReports_ClickC/STILSOA,Pm_Region,Doncaster,page04_Doncaster
Migration_PerformanceReports_ClickC/STIresults,Pm_Region,Doncaster,page05_Doncaster
Migration_PerformanceReports_ClickC/STIresultTOTs,Pm_Region,Doncaster,page06_Doncaster
Migration_PerformanceReports_ClickC/STIdiagnosisCTGC,Pm_Region,Doncaster,page07_Doncaster
Migration_PerformanceReports_ClickC/STIdiagnosisHIVSyp,Pm_Region,Doncaster,page08_Doncaster
Migration_PerformanceReports_ClickC/STIrisksafeguarding,Pm_Region,Doncaster,page09_Doncaster
Migration_PerformanceReports_ClickC/STIDemographics1,Pm_Region,Doncaster,page10_Doncaster
Migration_PerformanceReports_ClickC/STIDemographics2,Pm_Region,Doncaster,page11_Doncaster
Migration_PerformanceReports_ClickC/ContraceptionPD,Pm_Region,Doncaster,page12_Doncaster
Migration_PerformanceReports_ClickC/POP,Pm_Region,Doncaster,page13_Doncaster
Migration_PerformanceReports_ClickC/COCPOPmap,Pm_Region,Doncaster,page14_Doncaster
Migration_PerformanceReports_ClickC/EC,Pm_Region,Doncaster,page15_Doncaster
Migration_PerformanceReports_ClickC/ECdelivered,Pm_Region,Doncaster,page16_Doncaster
Migration_PerformanceReports_ClickC/Feedback,Pm_Region,Doncaster,page17_Doncaster
Migration_PerformanceReports_ClickC/Coverpage,Pm_Region,Dorset,page01_Dorset
Migration_PerformanceReports_ClickC/Highlights,Pm_Region,Dorset,page02_Dorset
Migration_PerformanceReports_ClickC/STIactivity,Pm_Region,Dorset,page03_Dorset
Migration_PerformanceReports_ClickC/STIoffline,Pm_Region,Dorset,page04_Dorset
Migration_PerformanceReports_ClickC/STILSOA,Pm_Region,Dorset,page05_Dorset
Migration_PerformanceReports_ClickC/STIresults,Pm_Region,Dorset,page06_Dorset
Migration_PerformanceReports_ClickC/STIresultTOTs,Pm_Region,Dorset,page07_Dorset
Migration_PerformanceReports_ClickC/STIdiagnosisCTGC,Pm_Region,Dorset,page08_Dorset
Migration_PerformanceReports_ClickC/STIdiagnosisHIVSyp,Pm_Region,Dorset,page09_Dorset
Migration_PerformanceReports_ClickC/STIrisksafeguarding,Pm_Region,Dorset,page10_Dorset
Migration_PerformanceReports_ClickC/STIDemographics1,Pm_Region,Dorset,page11_Dorset
Migration_PerformanceReports_ClickC/STIDemographics2,Pm_Region,Dorset,page12_Dorset
Migration_PerformanceReports_ClickC/ContraceptionPD,Pm_Region,Dorset,page13_Dorset
Migration_PerformanceReports_ClickC/COC,Pm_Region,Dorset,page14_Dorset
Migration_PerformanceReports_ClickC/POP,Pm_Region,Dorset,page15_Dorset
Migration_PerformanceReports_ClickC/COCPOPmap,Pm_Region,Dorset,page16_Dorset
Migration_PerformanceReports_ClickC/Feedback,Pm_Region,Dorset,page17_Dorset
Migration_PerformanceReports_ClickC/Coverpage,Pm_Region,Dudley,page01_Dudley
Migration_PerformanceReports_ClickC/Highlights,Pm_Region,Dudley,page02_Dudley
Migration_PerformanceReports_ClickC/STIactivity,Pm_Region,Dudley,page03_Dudley
Migration_PerformanceReports_ClickC/STILSOA,Pm_Region,Dudley,page04_Dudley
Migration_PerformanceReports_ClickC/STIresults,Pm_Region,Dudley,page05_Dudley
Migration_PerformanceReports_ClickC/STIresultTOTs,Pm_Region,Dudley,page06_Dudley
Migration_PerformanceReports_ClickC/STIdiagnosisCTGC,Pm_Region,Dudley,page07_Dudley
Migration_PerformanceReports_ClickC/STIdiagnosisHIVSyp,Pm_Region,Dudley,page08_Dudley
Migration_PerformanceReports_ClickC/STIrisksafeguarding,Pm_Region,Dudley,page09_Dudley
Migration_PerformanceReports_ClickC/STIDemographics1,Pm_Region,Dudley,page10_Dudley
Migration_PerformanceReports_ClickC/STIDemographics2,Pm_Region,Dudley,page11_Dudley
Migration_PerformanceReports_ClickC/ContraceptionPD,Pm_Region,Dudley,page12_Dudley
Migration_PerformanceReports_ClickC/Feedback,Pm_Region,Dudley,page13_Dudley
Migration_PerformanceReports_ClickC/Coverpage,Pm_Region,Halton,page01_Halton
Migration_PerformanceReports_ClickC/Highlights,Pm_Region,Halton,page02_Halton
Migration_PerformanceReports_ClickC/STIactivity,Pm_Region,Halton,page03_Halton
Migration_PerformanceReports_ClickC/STIoffline,Pm_Region,Halton,page04_Halton
Migration_PerformanceReports_ClickC/STILSOA,Pm_Region,Halton,page05_Halton
Migration_PerformanceReports_ClickC/STIresults,Pm_Region,Halton,page06_Halton
Migration_PerformanceReports_ClickC/STIresultTOTs,Pm_Region,Halton,page07_Halton
Migration_PerformanceReports_ClickC/STIdiagnosisCTGC,Pm_Region,Halton,page08_Halton
Migration_PerformanceReports_ClickC/STIdiagnosisHIVSyp,Pm_Region,Halton,page09_Halton
Migration_PerformanceReports_ClickC/STIrisksafeguarding,Pm_Region,Halton,page10_Halton
Migration_PerformanceReports_ClickC/STIDemographics1,Pm_Region,Halton,page11_Halton
Migration_PerformanceReports_ClickC/STIDemographics2,Pm_Region,Halton,page12_Halton
Migration_PerformanceReports_ClickC/ContraceptionPD,Pm_Region,Halton,page13_Halton
Migration_PerformanceReports_ClickC/COC,Pm_Region,Halton,page14_Halton
Migration_PerformanceReports_ClickC/POP,Pm_Region,Halton,page15_Halton
Migration_PerformanceReports_ClickC/COCPOPmap,Pm_Region,Halton,page16_Halton
Migration_PerformanceReports_ClickC/Feedback,Pm_Region,Halton,page17_Halton
Migration_PerformanceReports_ClickC/RoyalLiverpool,Pm_Region,Halton,page18_Halton
Migration_PerformanceReports_ClickC/Coverpage,Pm_Region,Hillingdon,page01_Hillingdon
Migration_PerformanceReports_ClickC/Highlights,Pm_Region,Hillingdon,page02_Hillingdon
Migration_PerformanceReports_ClickC/STIactivity,Pm_Region,Hillingdon,page03_Hillingdon
Migration_PerformanceReports_ClickC/STIoffline,Pm_Region,Hillingdon,page04_Hillingdon
Migration_PerformanceReports_ClickC/STILSOA,Pm_Region,Hillingdon,page05_Hillingdon
Migration_PerformanceReports_ClickC/STIresults,Pm_Region,Hillingdon,page06_Hillingdon
Migration_PerformanceReports_ClickC/STIresultTOTs,Pm_Region,Hillingdon,page07_Hillingdon
Migration_PerformanceReports_ClickC/STIdiagnosisCTGC,Pm_Region,Hillingdon,page08_Hillingdon
Migration_PerformanceReports_ClickC/STIdiagnosisHIVSyp,Pm_Region,Hillingdon,page09_Hillingdon
Migration_PerformanceReports_ClickC/STIrisksafeguarding,Pm_Region,Hillingdon,page10_Hillingdon
Migration_PerformanceReports_ClickC/STIDemographics1,Pm_Region,Hillingdon,page11_Hillingdon
Migration_PerformanceReports_ClickC/STIDemographics2,Pm_Region,Hillingdon,page12_Hillingdon
Migration_PerformanceReports_ClickC/ContraceptionPD,Pm_Region,Hillingdon,page13_Hillingdon
Migration_PerformanceReports_ClickC/COC,Pm_Region,Hillingdon,page14_Hillingdon
Migration_PerformanceReports_ClickC/POP,Pm_Region,Hillingdon,page15_Hillingdon
Migration_PerformanceReports_ClickC/COCPOPmap,Pm_Region,Hillingdon,page16_Hillingdon
Migration_PerformanceReports_ClickC/EC,Pm_Region,Hillingdon,page17_Hillingdon
Migration_PerformanceReports_ClickC/ECdelivered,Pm_Region,Hillingdon,page18_Hillingdon
Migration_PerformanceReports_ClickC/Feedback,Pm_Region,Hillingdon,page19_Hillingdon
Migration_PerformanceReports_ClickC/Coverpage,Pm_Region,Hertfordshire,page01_Hertfordshire
Migration_PerformanceReports_ClickC/Highlights,Pm_Region,Hertfordshire,page02_Hertfordshire
Migration_PerformanceReports_ClickC/STIactivity,Pm_Region,Hertfordshire,page03_Hertfordshire
Migration_PerformanceReports_ClickC/STILSOA,Pm_Region,Hertfordshire,page04_Hertfordshire
Migration_PerformanceReports_ClickC/STIDistrict,Pm_Region,Hertfordshire,page05_Hertfordshire
Migration_PerformanceReports_ClickC/STIresults,Pm_Region,Hertfordshire,page06_Hertfordshire
Migration_PerformanceReports_ClickC/ResultsUniqueUsersHerts,Pm_Region,Hertfordshire,page07_Hertfordshire
Migration_PerformanceReports_ClickC/STIresultTOTs,Pm_Region,Hertfordshire,page08_Hertfordshire
Migration_PerformanceReports_ClickC/STIdiagnosisCTGC,Pm_Region,Hertfordshire,page09_Hertfordshire
Migration_PerformanceReports_ClickC/STIdiagnosisHIVSyp,Pm_Region,Hertfordshire,page10_Hertfordshire
Migration_PerformanceReports_ClickC/STIrisksafeguarding,Pm_Region,Hertfordshire,page11_Hertfordshire
